,DateTime,Filter#1_CTRL_FRC,Filter#1_CTRL_PRC,Filter#1_Inlet_Flow,Filter#1_Inlet_Pressure,Filter#1_Turbidity,Filter#2_CTRL_FRC,Filter#2_CTRL_PRC,Filter#2 _Inlet_Flow,Filter#2_Wash_Spray_Flow,Filter#2 _Inlet_Pressure,Filter#2_Outlet_Pressure,Filter#2_Turbidity,FILTER#3_CTRL_FRC,FILTER#3_CTRL_PRC,Filter#3_Inlet Flow,Filter#3_Inlet_Pressure,Filter#3_Turbidity,FILTER#4_CTRL_FRC,Second_Filters_Supply_Tank_Temperature,Filter#4 _Inlet_Flow,Filter#4_Inlet_Pressure,Filter#4 _Turbidity,FILTER#5_CTRL_FRC,FILTER#5_CTRL_PRC,Filter#5_Inlet_Flow,Filter#5_Inlet_Pressure,Filter#5 _Turbidity,FILTER#6_CTRL_FRC,Filter#6_Inlet_Flow,Filter#6 _Inlet_Pressure,Filter#6_Turbidity,Filter#1_Flow_Control_Valve,Filter#2_Flow_Control_Valve,Filter#3_Flow_Control_Valve,Filter#4 _Flow_Control_Valve,Filter#5_Flow_Control_Valve,Filter#6_Flow_Control_Valve
69056,2/13/23 6:31,748.6484,40.04896,663.4525,40.04896,6.391664,673.9301,40.00526,1926.485,,40.01295,7.269157,394.1669,161.3536,0.7923027,12.98699,5.094922,311.0548,636.238,86.40341,483.5029,34.80997,454.8163,243.0401,37.66935,357.5443,37.72129,408.1256,156.3648,1106.07,37.11909,311.014,38.57693,100.0,5.569115,100.0,48.65004,31.1645
69057,2/13/23 6:34,744.2067,40.01991,653.7867,40.01991,6.513641,670.608,39.97635,1965.843,,39.98641,,399.0838,203.3164,0.0,56.71338,4.42742,314.9186,630.4161,86.44009,477.3778,33.13602,456.0844,237.2711,36.86009,349.2885,36.92808,413.7713,162.6929,1151.942,36.19176,314.9981,39.64355,100.0,7.288662,100.0,47.50975,32.45746
69058,2/13/23 6:36,740.2808,39.99422,645.2434,39.99422,6.621454,667.6716,39.95079,2000.63,,39.96295,5.431871,403.4296,240.4061,2.091371,95.36186,3.837434,318.3338,625.2704,86.47251,471.964,31.65647,457.2053,232.1721,36.14482,341.9915,36.22698,418.7614,168.2861,1192.487,35.37212,318.5195,40.58629,100.0,8.80852,100.0,46.50188,33.60027
69059,2/13/23 6:38,737.931,39.97885,640.1299,39.97885,6.685984,665.9141,39.9355,2021.452,,39.94891,8.48224,406.0308,262.6057,3.343141,118.4945,3.484303,320.3779,622.1905,86.49192,468.7236,30.7709,457.8762,229.1201,35.7167,337.6239,35.80735,421.7482,171.6339,1216.754,34.88153,320.6272,41.15057,100.0,9.718216,100.0,45.89862,34.28428
69060,2/13/23 6:48,720.7087,39.8662,602.6516,39.8662,7.15894,653.0328,39.8234,2174.06,,39.84602,7.712982,425.0954,425.313,12.5177,288.0401,0.8961166,335.3597,599.6169,86.63413,444.9739,24.28031,462.7934,206.7515,32.57889,305.6129,32.73173,443.6389,196.1705,1394.618,31.28588,336.0752,45.28627,100.0,16.38562,100.0,41.47723,39.29763
73539,2/22/23 5:03,434.8714,40.56331,709.6545,40.56331,41.35179,44.38743,7.884737,578.2102,,35.13403,5.588475,515.8829,268.2258,8.793465,378.5411,1.388657,518.1978,245.3754,79.6299,210.2906,40.39671,516.1268,386.1387,40.54267,0.3620982,40.54267,515.752,600.3409,1265.27,37.69317,476.1141,85.50783,9.346299,11.29177,84.53089,99.85253,75.89427
73540,2/22/23 5:06,428.9846,40.72026,747.51,40.72026,13.77313,0.0,3.942368,517.969,,34.49982,5.018469,515.9016,293.5136,10.00854,434.2856,2.898965,518.1978,241.1902,79.68608,211.858,40.56999,516.126,384.8072,40.71721,4.68679,40.71721,515.7508,580.6818,1344.554,40.5906,476.6136,84.35033,0.0,12.4036,83.10208,99.8383,73.409
73541,2/22/23 5:07,425.786,40.80554,768.0789,40.80554,18.22617,32.15049,1.800272,485.2368,,34.15522,4.708755,515.9117,307.2538,10.66875,464.5745,3.719595,518.1978,238.9162,79.71661,212.7097,40.20116,516.1256,384.0837,36.95362,7.036622,36.95362,515.7502,570.0,1387.633,39.82724,476.885,83.7214,0.1278724,13.00771,82.32574,99.83057,72.05861
73542,2/22/23 5:09,423.0979,39.18806,785.3655,39.17193,21.96861,59.17059,0.0,457.7278,,33.86561,4.448464,515.9203,318.8014,11.22361,490.0301,4.409273,518.1978,237.0051,79.74226,213.4254,39.89119,516.1252,383.4757,33.79061,9.01148,33.79061,515.7497,561.0227,1423.838,39.18568,477.1131,83.19283,0.2353397,13.51542,81.67327,99.82407,70.92372
73543,2/22/23 5:17,406.1181,28.97132,894.5557,28.85333,45.60757,229.8418,1.064426,283.9684,,32.0363,2.804346,515.9743,391.7413,14.72835,650.819,8.765595,518.1978,224.9335,79.90431,217.9465,37.93327,516.123,379.6352,13.81155,21.48559,13.81155,515.7465,504.3182,1652.524,35.13334,478.5539,79.85414,0.9141517,16.72236,77.55203,99.78304,63.75521
